Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
ANTH,102,603,13351,CULTURAL ANTH,Recitation,3,Alumni,203,M,14:30 - 15:20,,"GR1 SS- Social and Behavioral Science, BN- Beyond the North Atlantic, IDEA - Ways of Knowing"
ANTH,102,612,13360,CULTURAL ANTH,Recitation,3,Dey Hall,412,F,10:10 - 11:00,,"GR1 SS- Social and Behavioral Science, BN- Beyond the North Atlantic, IDEA - Ways of Knowing"
ANTH,121,1,13271,ANCIENT CITIES: AMERICAS,Lecture,3,Phillips,265,MWF,14:30 - 15:20," Smit,Douglas Karel","HS- Historical Analysis, BN- Beyond the North Atlantic, WB- The World Before 1750, IDEA - Ways of Knowing, IDEA - Engagement with the Human Past"
ANTH,142,601,13361,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Tu,08:00 - 08:50," Taylor,Sean Patrick","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,142,602,13362,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,308,Th,11:00 - 11:50," Jeranko,Maja","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,142,603,13363,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Th,12:30 - 13:20," Jeranko,Maja","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,142,604,13364,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,308,Th,14:00 - 14:50," Jeranko,Maja","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,142,605,13365,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Tu,17:00 - 17:50," Taylor,Sean Patrick","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,142,606,13366,LOC CULTURES GLOB FORCES,Recitation,3,Alumni,205,Th,17:00 - 17:50," Taylor,Sean Patrick","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement Class Equivalents: ANTH 142/142H"
ANTH,143,1,1877,HUMAN EVOL & ADAPT,Lecture,3,Fetzer Hall,109,MW,15:35 - 16:50,"Hilton,Charles Edward ",
ANTH,143,600,2073,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,08:00 - 08:50,"Stalter,Lindsey Michelle ",
ANTH,143,601,2074,HUMAN EVOL & ADAPT,Recitation,3,Alumni,308,W,09:05 - 09:55,"Stalter,Lindsey Michelle ",
ANTH,143,602,2075,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,17:45 - 18:35,"Goraya,Supreet Kaur ",
ANTH,143,603,2076,HUMAN EVOL & ADAPT,Recitation,3,Alumni,308,W,11:15 - 12:05," Stalter,Lindsey Michelle",GR1 PL- Physical and Life Science
ANTH,143,604,2077,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,12:20 - 13:10," Goraya,Supreet Kaur",GR1 PL- Physical and Life Science
ANTH,143,605,2078,HUMAN EVOL & ADAPT,Recitation,3,Alumni,404,W,13:25 - 14:15," Goraya,Supreet Kaur",PL- Physical and Life Science
ANTH,147,601,9718,COMP HEALING SYSTEM,Recitation,3,Hanes Art Center ,404,,,"Mersmann,Joy Regina ","SS- Social and Behavioral Science, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Ways of Knowing"
ANTH,147,602,9719,COMP HEALING SYSTEM,Recitation,3,Alumni,205,F,09:05 - 09:55," Mersmann,Joy Regina","SS- Social and Behavioral Science, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Ways of Knowing"
ANTH,147,603,9720,COMP HEALING SYSTEM,Recitation,3,Alumni,203,F,10:10 - 11:00," Mersmann,Joy Regina","SS- Social and Behavioral Science, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Ways of Knowing"
ANTH,147,604,9721,COMP HEALING SYSTEM,Recitation,3,Alumni,203,F,11:15 - 12:05," King,Joel David","SS- Social and Behavioral Science, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Ways of Knowing"
